tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState,recoveryTicks,recoveryActivationCount,recoveryTimeoutCount
395,153,vehicle.harley-davidson.low_rider,turn_left,21.610175619792,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,-0.00690031051635742,2.75698971748352,0,0,normal,0,0,0
395,154,vehicle.diamondback.century,roadside_edge,93.8162165596869,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.45698019862175,2.89198422431946,0,0,normal,0,0,0
395,155,vehicle.carlamotors.carlacola,slow_through,76.4148091580434,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.27625384926796,-2.46616673469543,0,0,normal,0,0,0
395,156,vehicle.bh.crossbike,roadside_edge,44.8394984510344,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0.150533571839333,-0.378464162349701,0,0,normal,0,0,0
395,157,vehicle.audi.tt,turn_right,35.3834900960718,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.506208717823029,-0.2964708507061,0,0,normal,0,0,0
395,158,vehicle.mitsubishi.fusorosa,straight_through,132.330349195075,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,0.368204563856125,-0.432530164718628,0,0,normal,0,8,0
395,159,vehicle.vespa.zx125,informal_merge,15.0319533510007,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,0.00164162542205304,0.00289492844603956,0,0,normal,0,0,0
395,160,vehicle.nissan.micra,turn_right,103.17247487993,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.323807299137115,-0.186709612607956,0,0,normal,0,0,0
395,161,vehicle.yamaha.yzf,following_ego_lane,191.124621166933,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,0.449735015630722,1.03758656978607,0,0,normal,0,0,0
396,152,vehicle.tesla.model3,straight_through,102.855056508821,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,6.20694345343509e-06,-0.000528413977008313,0,0,normal,0,0,0
396,153,vehicle.harley-davidson.low_rider,turn_left,22.0691783517952,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,-0.000315204553771764,2.83690476417542,0,0,normal,0,0,0
396,154,vehicle.diamondback.century,roadside_edge,94.1977344623668,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.483698844909668,2.89220333099365,0,0,normal,0,0,0
