tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
38,1.60608528707398,0.596957356463009,0,1.92757250411537,avoid,8,65.172308084131,2.92441630363607,0,0
39,2.2428592624359,0.278570368782049,0,8.51694050411537,avoid,15,65.0131297068101,2.99264907837245,0,0
40,2.66060782493908,0.069696087530458,0,15.0479765041154,avoid,15,64.7701638792373,2.20628887414886,0,0
41,2.73508650371569,0.0324567481421538,0,21.6687845041154,avoid,15,64.5179885821146,0.350952148435038,0,0
42,2.64119638580499,0.0794018070975062,0,15.1709045041154,avoid,1,64.25526333057,-2.52401852608212,0,0
43,2.60969176283883,0.0951541185805858,0,8.56045250411537,avoid,3,63.9890345136727,-5.55094003677689,0,0
44,2.5688322295873,0.11558388520635,0,2.12239250411537,avoid,1,63.6796064227031,-7.8050041198744,0,0
45,2.51980456987976,0.140097715060122,0,-4.29576549588463,avoid,1,63.4206171690232,-8.86695766448889,0,0
46,2.42835709182767,0.185821454086163,0,-10.8440694958846,avoid,9,63.1636343452885,-8.82795810699372,0,0
47,2.40698373438226,0.196508132808868,0,-17.3264754958846,avoid,8,62.9545411543767,-8.04111862182622,0,0
48,2.38551683271316,0.207241583643421,0,-23.9852094958846,avoid,1,62.7265668655233,-5.9684524536129,0,0
49,2.38978172953274,0.205109135233631,0,-30.1069314958846,avoid,5,62.5746579448627,-3.74096918106331,0,0
50,2.33365876949942,0.233170615250292,0,-24.0997134958846,avoid,15,62.4133746669112,0.154144167902241,0,0
51,2.39371905763309,0.203140471183454,0,-17.7334014958846,avoid,15,62.3172245721832,3.66490197181912,0,0
52,2.49883060635412,0.150584696822942,0,-11.0379354958846,avoid,6,62.1779413358659,7.34233283996736,0,0
53,2.57666189292417,0.111669053537913,0,-4.59574149588463,avoid,15,62.0270626767768,9.91691493988035,0,0
54,2.58946312456417,0.105268437717916,0,-9.78867049411279,avoid,5,61.858638520641,11.4625415802014,0,0
55,2.54828881999796,0.125855590001022,0,-3.20544649411279,avoid,15,61.697271554419,12.4497804641739,0,0
56,2.51123231140241,0.144383844298793,0,3.22364350588721,avoid,15,61.5413688455454,13.7031860351552,0,0
57,2.48859282848436,0.155703585757818,0,9.76565950588721,avoid,11,61.3787764578931,13.922152519227,0,0
58,2.45820787162889,0.170896064185554,0,16.4767915058872,avoid,12,61.1928609990744,13.1745014190639,0,0
59,2.41662771816048,0.191686140919762,0,23.0857495058872,avoid,13,60.9951961447298,11.4887561798102,0,0
60,2.37581092488867,0.212094537555665,0,29.6101195058872,avoid,15,60.7731512283313,8.73267269134458,0,0
61,2.35092149938779,0.224539250306103,0,35,avoid,15,60.5902214423646,5.89812326431109,0,0
62,2.26531703251018,0.267341483744909,0,35,avoid,15,60.3449684182302,1.17480470240525,0,0
63,2.28247244688074,0.25876377655963,0,28.37489,avoid,1,60.1475591058617,-3.25021553039699,0,0
64,2.42219050458045,0.188904747709773,0,21.93362,avoid,10,59.884792736344,-8.75492668151424,0,0
65,2.56481180234176,0.117594098829122,0,15.4358,avoid,8,59.5994453825351,-13.3073596954337,0,0
66,2.63462197249863,0.0826890137506835,0,8.218022,avoid,8,59.3024908231491,-16.8750400543216,0,0
67,2.62117238095376,0.0894138095231214,0,1.919282,avoid,8,59.0128712115055,-19.2811851501462,0,0
68,2.59111984570484,0.104440077147579,0,-5.46985,avoid,8,58.7411020170013,-20.455551147461,0,0
69,2.53094455314826,0.134527723425871,0,-11.804716,avoid,7,58.4990308714231,-20.462757110596,0,0
70,2.46459580866489,0.167702095667557,0,-18.383152,avoid,7,58.2431757794861,-19.2748336792002,0,0
71,2.40138018592236,0.19930990703882,0,-24.970552,avoid,1,58.0043485830409,-17.058629989622,0,0
72,2.35574389002285,0.222128054988574,0,-18.389446,avoid,15,57.8048000712229,-14.063614845276,0,0
73,2.42407200723608,0.187963996381959,0,-25.039792,avoid,1,57.6202386448345,-10.7166023254404,0,0
74,2.4306533589202,0.184673320539902,0,-31.481794,avoid,1,57.4497820566414,-7.8754692077612,0,0
75,2.36135666012621,0.219321669936894,0,-35,avoid,1,57.295365422049,-3.6337299346883,0,0
76,2.31682415304088,0.241587923479559,0,-35,avoid,1,57.1975640661981,1.23864746093876,0,0
77,2.35044194277887,0.224779028610567,0,-28.40567,avoid,8,57.1347508068681,6.57387590407821,0,0
78,2.47831754688056,0.160841226559718,0,-21.840368,avoid,8,57.0824668328545,11.4955377578721,0,0
79,2.58693336912823,0.106533315435884,0,-15.166742,avoid,7,57.0078494438851,15.8525772094698,0,0
80,2.63076155917356,0.0846192204132206,0,-8.540558,avoid,7,56.9294242153201,18.8288497924827,0,0
81,2.62558760404925,0.0872061979753747,0,-2.045924,avoid,6,56.8297447497426,20.9025554656976,0,0
82,2.57963527559124,0.110182362204379,0,4.558738,avoid,14,56.7205389145732,21.822053909306,0,0
83,2.52427507322471,0.137862463387644,0,11.14972,avoid,14,56.5880149307092,21.6969089508046,0,0
84,2.46459256678153,0.167703716609236,0,17.810872,avoid,10,56.43184963773,20.5116157531699,0,0
85,2.42099332406628,0.18950333796686,0,24.346768,avoid,15,56.2807331007362,18.685857772836,0,0
86,2.36358972145845,0.218205139270774,0,30.953632,avoid,15,56.0826128270363,15.4908838272096,0,0
