tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState
315,114,vehicle.bh.crossbike,roadside_edge,81.0209773319852,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0389641784131527,-2.97196459770203,0,0,normal
315,115,vehicle.audi.tt,turn_right,24.2408752840996,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00223388406448066,0.00358003005385399,0,0,normal
315,116,vehicle.mitsubishi.fusorosa,straight_through,4.76152309984765,-4.99948794685753,0.0715560565314597,0,0,-3.88510045468138e-07,-1.36098731218226e-06,1,1,normal
315,117,vehicle.vespa.zx125,informal_merge,47.3810172480498,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.03104066848755,-1.28288424015045,0,0,normal
315,118,vehicle.nissan.micra,turn_right,92.3893828082942,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.76195907592773,2.26359748840332,0,0,normal
315,119,vehicle.yamaha.yzf,following_ego_lane,184.307886180201,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.256002515554428,-0.01047935616225,0,0,normal
316,110,vehicle.tesla.model3,straight_through,100.589420043422,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000198892419575714,0.0138627560809255,0,0,normal
316,111,vehicle.harley-davidson.low_rider,turn_left,20.2143016130335,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,3.4886001230916e-05,-9.1419366071932e-05,0,0,normal
316,112,vehicle.diamondback.century,roadside_edge,101.391713472904,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.0492753311991692,-0.196206718683243,0,0,normal
316,113,vehicle.carlamotors.carlacola,slow_through,64.1703000787657,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0207232162356377,-0.0998448133468628,0,0,normal
316,114,vehicle.bh.crossbike,roadside_edge,81.3001242541328,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0384486056864262,-2.97116637229919,0,0,normal
316,115,vehicle.audi.tt,turn_right,24.2377334379628,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00357402674853802,0.00317855807952583,0,0,normal
316,116,vehicle.mitsubishi.fusorosa,straight_through,4.7616397427278,-4.99948794685753,0.0715560565314597,0,0,-6.35859080944101e-08,-3.47591509353151e-07,1,1,normal
316,117,vehicle.vespa.zx125,informal_merge,47.5714423988719,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.03047347068787,-1.28803324699402,0,0,normal
