tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
76,2.34065129058236,0.229674354708822,0,35,avoid,15,54.1436784887885,-3.35186910628561,0,0
77,2.26538081869871,0.267309590650647,0,29.9212581207388,avoid,11,53.929802127666,-7.77982711791846,0,0
78,2.34233177648287,0.228834111758563,0,35,avoid,13,53.6998158001683,-12.7248115539539,0,0
79,2.37451042049577,0.212744789752116,0,35,avoid,14,53.4607943010679,-17.3276100158683,0,0
80,2.36126658706538,0.219366706467309,0,23.552144,avoid,13,53.3346438268462,-20.0852565765379,0,0
81,2.52733824734152,0.136330876329238,0,17.342522,avoid,11,52.8947600548692,-29.1459159851067,0,0
82,2.61967388161409,0.0901630591929543,0,10.502234,avoid,12,52.6473378960939,-32.5662384033225,0,0
83,2.66468939679803,0.0676553016009831,0,4.08077,avoid,9,52.3819345516997,-35.2607650756823,0,0
84,2.65605009010548,0.0719749549472601,0,-2.308744,avoid,10,52.1162987587725,-36.9203224182152,0,0
85,2.58238495360309,0.108807523198453,0,-9.165028,avoid,11,51.8066650313352,-37.6914787292471,0,0
86,2.51244759629778,0.143776201851108,0,-15.179746,avoid,12,51.5517615141601,-37.373142242431,0,0
87,2.44005305862026,0.179973470689869,0,-21.325462,avoid,13,51.3171807927407,-36.2573051452583,0,0
88,2.34796021661417,0.226019891692914,0,-27.379072,avoid,1,51.0483768710406,-33.727359771733,0,0
89,2.31151968472837,0.244240157635814,0,-33.78022,avoid,1,50.8673533432169,-31.1665573120131,0,0
90,2.25892362574362,0.27053818712819,0,-35,avoid,1,50.6471500484391,-26.6209964752177,0,0
91,2.2488042923347,0.275597853832651,0,-35,avoid,2,50.4856004789417,-21.4274425506606,0,0
92,2.33936371712624,0.230318141436878,0,-35,avoid,4,50.3201867879488,-14.4579668045022,0,0
93,2.42881592721071,0.185592036394645,0,-35,avoid,2,50.1930731391931,-7.63035106658901,0,0
94,2.50362620112768,0.148186899436159,0,-35,avoid,2,50.1024299136008,-0.977173089975334,0,0
95,2.52357272727537,0.138213636362316,0,-28.085426,avoid,12,50.0457704020618,5.79949760437044,0,0
96,2.59358626751271,0.103206866243646,0,-35,avoid,4,50.0212667260076,12.1781673431402,0,0
97,2.45672586682715,0.171637066586422,0,-25.8832561812626,avoid,4,50.0014920342253,20.3051586151131,0,0
98,2.4261762215611,0.18691188921945,0,-35,avoid,1,50.1078361833272,30.902288436887,0,0
99,2.41437629353919,0.192811853230404,0,-15.607232,avoid,7,50.2312504048983,39.0097961425733,0,0
100,2.46532070176962,0.16733964911519,0,-2.330132,avoid,6,50.4281946521897,47.0933036804236,0,0
101,2.56257251254079,0.118713743729606,0,13.92715,avoid,4,50.6178167936888,52.0003929138161,0,0
102,2.50266198952793,0.148669005236033,0,30.00445,avoid,2,50.694350809501,51.9516258239722,0,0
103,2.25391540642481,0.273042296787593,0,35,avoid,3,50.6160670391612,42.8701667785639,0,0
104,2.19267257468461,0.303663712657694,0,35,avoid,8,50.4035824888494,33.9269523620618,0,0
105,2.32152930176612,0.239235349116939,0,35,avoid,9,50.1429415473944,25.0617523193392,0,0
106,2.47008350432447,0.164958247837763,0,35,avoid,12,49.8246241298593,15.7310800552361,0,0
107,2.55585310343569,0.122073448282155,0,35,avoid,14,49.4255444083308,5.32443666458333,0,0
108,2.55564669417236,0.122176652913821,0,35,avoid,15,48.9903754446834,-5.14169836044193,0,0
109,2.50054651290766,0.14972674354617,0,35,avoid,14,48.573595286135,-14.7090015411343,0,0
110,2.43678201028705,0.181608994856477,0,35,avoid,13,48.0591201142252,-26.3265838623041,0,0
111,2.42886328563067,0.185568357184663,0,25.2853172865436,avoid,14,47.5999598200818,-36.9427566528307,0,0
112,2.54455486958459,0,0.424092478264098,12.5756012865436,emergency_stop,15,47.1104537515212,-47.0688896179208,0,0
113,2.45036878887011,0,0.408394798145019,-0.579932713456437,emergency_stop,15,46.5817271350438,-53.9300079345683,0,0
114,0.00201549426872129,0,0.000335915711453548,-21.2927547134564,emergency_stop,2,45.9735485457149,-56.3542900085418,0,0
115,9.71291650880307e-07,0,1.61881941813385e-07,-35,emergency_stop,1,45.9729563892012,-56.3543205261088,0,0
116,1.22934652616277e-07,0,2.04891087693795e-08,-35,emergency_stop,4,45.9729563892012,-56.3543205261203,0,0
117,0.0028094503640162,0,0.000468241727336034,-35,emergency_stop,4,45.9721481924178,-56.3593444824191,1,1
118,0.000462170529458593,0,7.70284215764322e-05,-35,emergency_stop,5,45.9724689951423,-56.2900199890112,5,4
119,0.0119529973941453,0.294023501302927,0,-35,brake,6,45.9757197577174,-56.2519607543923,12,7
120,5.12649658999933,0,0.854416098333222,-35,emergency_stop,4,46.760495832775,-72.4944152832024,15,3
121,1.90212397768084,0,0.317020662946806,-35,emergency_stop,3,47.7749925766635,-98.9406585693292,21,6
122,2.93953038179278,0,0.489921730298797,-35,emergency_stop,6,48.2879750544367,-113.633018493655,30,9
123,2.16973780712972,0,0.361622967854953,-35,emergency_stop,7,48.8830111243828,-135.224334716793,32,2
124,0.00250930459985975,0,0.000418217433309958,-35,emergency_stop,8,49.0344077183189,-140.413650512688,33,1
125,0.00175832664227999,0,0.000293054440379998,-35,emergency_stop,7,49.0346421019565,-140.419052124033,37,4
126,0.00203664318426509,0.298981678407867,0,-35,brake,7,49.0373116288155,-140.383422851572,39,2
127,0.0111766933496562,0.294411653325172,0,-35,brake,6,49.0353329368186,-140.297988891611,40,1
128,0.0104167765895287,0.294791611705236,0,-35,brake,6,49.035211342769,-140.256088256845,47,7
129,0.029726321019404,0.285136839490298,0,-35,brake,6,49.0365120392841,-140.268280029306,54,7
130,0.0311853659926413,0.284407317003679,0,-35,brake,6,49.0382172797309,-140.266555786142,62,8
131,0.0315570974823044,0.284221451258848,0,-35,brake,5,49.039505202102,-140.266021728525,70,8
132,0.0136375499977744,0.293181225001113,0,-35,brake,5,49.0404959952438,-140.247909545907,76,6
133,0.0173308217452126,0.291334589127394,0,-35,brake,5,49.0418818434079,-140.233627319345,84,8
134,0.0175021643224529,1,0,-35,avoid,5,49.0429396692312,-140.216079711923,91,7
135,0.0447199712671997,1,0,-35,avoid,5,49.0443461471438,-140.20587158204,98,7
136,0.0290746397955436,1,0,-35,avoid,5,49.0516332758721,-139.915802001962,105,7
137,0.0322144498721963,1,0,-35,avoid,7,49.0630251360288,-139.573440551767,111,6
138,0.0275839239574096,1,0,-35,avoid,8,49.0718156837846,-139.325286865227,117,6
139,0.0289602238501388,1,0,-35,avoid,8,49.0779833037208,-139.154357910149,124,7
140,0.0245056547044404,1,0,-35,avoid,9,49.0816749595343,-139.060775756829,130,6
141,0.0277066216129138,1,0,-35,avoid,9,49.0853989155883,-138.961975097649,139,9
142,0.0282323652763496,1,0,-35,avoid,10,49.0880247110325,-138.894622802743,146,7
143,0.0265456455337198,1,0,-35,avoid,10,49.0923375753734,-138.783065795891,153,7
144,0.0263759567793009,1,0,-35,avoid,9,49.0941123600338,-138.742187500009,160,7
145,0.0259795274470932,1,0,-35,avoid,8,49.0983345449955,-138.628585815439,172,12
146,0.0285909172360338,1,0,-35,avoid,8,49.1009631619854,-138.561492919931,179,7
147,0.0287983028154054,1,0,-35,avoid,7,49.1039105948787,-138.478225708001,189,10
148,0.0245472265570392,1,0,-35,avoid,7,49.1071852531185,-138.407241821282,200,11
149,0.0322994053463125,1,0,-35,avoid,8,49.1102272279609,-138.326416015634,210,10
150,0.0261601385123631,1,0,-35,avoid,8,49.113422360895,-138.237442016611,221,11
151,0.0245726075756511,1,0,-35,avoid,8,49.116483872072,-138.152557373056,232,11
152,0.0270293275336339,1,0,-35,avoid,8,49.1192529829677,-138.071868896494,242,10
153,0.0272782635816816,1,0,-35,avoid,8,49.1223481469489,-137.989120483408,253,11
154,0.0309136012093633,1,0,-35,avoid,8,49.1251338257136,-137.917709350595,262,9
155,0.0286842512369752,1,0,-35,avoid,8,49.1286286073196,-137.828125000009,273,11
156,0.02668919605639,1,0,-35,avoid,8,49.1319525844719,-137.736679077158,279,6
157,0.0277088688641948,1,0,-35,avoid,8,49.1349374090831,-137.657562255869,288,9
158,0.0243975868551117,1,0,-35,avoid,8,49.1377846247588,-137.578353881845,297,9
159,0.0243782149170581,1,0,-35,avoid,8,49.1405324423209,-137.498977661142,307,10
160,0.024729616079504,1,0,-35,avoid,8,49.143299537719,-137.422683715829,315,8
