frame,timestamp,otherActorId,otherActorType,impulseMagnitude,egoX,egoY,egoYawDeg
197964,1451.26864165068,246,vehicle.yamaha.yzf,2.37042173560639,-38.7905349731445,134.991806030273,0.0466039516031742
197965,1451.28243105114,246,vehicle.yamaha.yzf,3.86884412874533,-38.5822906494141,134.991806030273,0.0800134912133217
197966,1451.296019651,246,vehicle.yamaha.yzf,1.34079790524849,-38.361255645752,134.991897583008,0.114540040493011
197968,1451.32419045269,246,vehicle.yamaha.yzf,161.189708262261,-37.9314842224121,134.992248535156,0.169135421514511
197971,1451.3665234521,246,vehicle.yamaha.yzf,767.084910995867,-37.2199516296387,134.994094848633,0.321720153093338
197979,1451.49271965027,246,vehicle.yamaha.yzf,452.642974568251,-35.1659622192383,134.996337890625,0.00843484606593847
197981,1451.54162925109,246,vehicle.yamaha.yzf,90.3129849882951,-34.5918846130371,134.997451782227,-0.098388671875
197982,1451.82501446828,246,vehicle.yamaha.yzf,57.3788511864722,-34.083553314209,134.998275756836,-0.202484115958214
197983,1451.86104286835,246,vehicle.yamaha.yzf,26.808185062394,-32.3588027954102,135.001480102539,-0.149688720703125
197984,1451.89329326525,246,vehicle.yamaha.yzf,26.9002884040042,-31.7264881134033,135.002685546875,-0.0832214280962944
197985,1451.91898046806,246,vehicle.yamaha.yzf,17.1356362789508,-31.1541538238525,135.00390625,-0.00555419921875
197986,1451.93551246822,246,vehicle.yamaha.yzf,17.0197759147471,-30.6946716308594,135.004913330078,0.0343780480325222
197987,1451.95677726716,246,vehicle.yamaha.yzf,14.1633933352031,-30.397087097168,135.005569458008,0.0469976738095284
197988,1451.97136356682,246,vehicle.yamaha.yzf,13.5827087700258,-30.0120639801025,135.006546020508,0.0543087869882584
197995,1452.12243456766,253,walker.pedestrian.0001,268.15212927654,-27.2084789276123,135.013656616211,0.119171962141991
197996,1452.14181146771,253,walker.pedestrian.0001,3.68348411341295,-26.91259765625,135.013961791992,0.103959783911705
197997,1452.15877446532,253,walker.pedestrian.0001,130.523692831047,-26.5415229797363,135.014221191406,0.0607430376112461
197998,1452.17444666475,253,walker.pedestrian.0001,187.612746564746,-26.2182750701904,135.015228271484,-0.0175781212747097
197998,1452.17444666475,246,vehicle.yamaha.yzf,51.9363158059445,-26.2182750701904,135.015228271484,-0.0175781212747097
197999,1452.19041756541,253,walker.pedestrian.0001,230.394362330661,-25.9221801757812,135.017288208008,-0.121032707393169
197999,1452.19041756541,246,vehicle.yamaha.yzf,1.32297135922862,-25.9221801757812,135.017288208008,-0.121032707393169
198000,1452.20586626604,253,walker.pedestrian.0001,274.523124138631,-25.6202335357666,135.019149780273,-0.23388671875
198000,1452.20586626604,246,vehicle.yamaha.yzf,0.506956641667429,-25.6202335357666,135.019149780273,-0.23388671875
198001,1452.22022466734,253,walker.pedestrian.0001,476.950261591116,-25.3297290802002,135.020889282227,-0.368499726057053
198002,1452.23466416821,246,vehicle.yamaha.yzf,0.511641152283537,-25.0606822967529,135.025253295898,-0.516662538051605
198003,1452.24892986566,246,vehicle.yamaha.yzf,8.16709862414985,-24.7926502227783,135.023376464844,-0.622802674770355
198022,1452.55008566752,246,vehicle.yamaha.yzf,167.012324747396,-19.2148094177246,134.878601074219,-2.19723534584045
198023,1452.56479936838,246,vehicle.yamaha.yzf,138.243429165516,-18.9314308166504,134.869293212891,-2.2615966796875
198024,1452.5780088678,246,vehicle.yamaha.yzf,41.7310275933772,-18.6595897674561,134.857681274414,-2.45681762695312
198025,1452.59278706834,246,vehicle.yamaha.yzf,35.2190598563715,-18.4164199829102,134.846740722656,-2.69247460365295
198026,1452.60684776679,246,vehicle.yamaha.yzf,535.541431173437,-18.1451854705811,134.834243774414,-2.99029636383057
198027,1452.62208626792,246,vehicle.yamaha.yzf,2202.58291248631,-17.8920478820801,134.814575195312,-3.70883178710938
198028,1452.63798286766,246,vehicle.yamaha.yzf,2229.16094672367,-17.6326446533203,134.774002075195,-5.38040542602539
